specimen_id,species,caste,image_initials,measure_initials,l1_femurL_1,l1_femurL_2,l1_femurW_1,l1_femurW_2,l1_tibiaL_1,l1_tibiaL_2,l1_tibiaW_1,l1_tibiaW_2,l1_btarsL_1,l1_btarsL_2,l1_btarsW_1,l1_btarsW_2,l2_femurL_1,l2_femurL_2,l2_femurW_1,l2_femurW_2,l2_tibiaL_1,l2_tibiaL_2,l2_tibiaW_1,l2_tibiaW_2,l2_btarsL_1,l2_btarsL_2,l2_btarsW_1,l2_btarsW_2,l3_femurL_1,l3_femurL_2,l3_femurW_1,l3_femurW_2,l3_tibiaL_1,l3_tibiaL_2,l3_tibiaW_1,l3_tibiaW_2,l3_btarsL_1,l3_btarsL_2,l3_btarsW_1,l3_btarsW_2,notes
FJ190716-008,bim,W,CL,DMO,,,,,,,,,,,,,,3.117,,1.443,,2.813,,1.081,,2.901,,0.876,3.751,2.912,1.212,0.934,4.457,4.343,1.371,1.47,2.869,2.614,1.272,1.45,
FJ190716-009,imp,W,CL,DMO,2.643,,0.76,,2.358,,0.665,,1.982,,0.513,,3.329,2.872,1.297,1.163,2.722,2.767,1.025,1.031,2.819,2.754,0.674,0.876,3.894,3.481,1.318,1.1,3.877,4.227,1.252,0.978,2.797,2.998,1.28,1.113,
FJ190716-013,bim,W,CL,DMO,2.943,2.824,0.831,0.78,2.341,2.324,0.828,0.575,2.03,2.065,0.461,0.449,,,,,,,,,,,,,,,,,,,,,,,,,
FJ190718-002,vag,W,DY,PF,1.813,1.904,0.467,0.507,1.571,1.486,0.449,0.542,1.401,1.307,0.448,0.353,2.302,2.49,0.804,0.832,2.044,2.037,0.785,0.758,1.85,1.91,0.61,0.609,2.664,2.797,0.913,0.784,2.779,2.965,0.975,0.783,1.873,1.934,0.762,0.673,
FJ190724-001,vag,M,CL,PF,1.918,1.746,0.619,0.478,1.529,1.542,0.467,0.395,1.556,1.209,0.271,0.263,3.101,,0.827,,1.865,,0.764,,2.086,,0.283,,2.935,2.635,0.633,0.853,2.871,2.709,0.617,0.664,2.124,2.229,0.43,0.576,
FJ190724-002,terri,W,PF,DY,2.483,,0.793,,2.069,,0.67,,1.913,,0.646,,3.171,3.191,1.087,1.138,2.613,2.469,0.961,1.066,2.743,2.263,0.849,0.753,3.656,3.195,1.26,1.081,3.72,3.823,1.314,1.23,2.108,2.428,1.03,1.092,
FJ190724-003,terri,W,CL,DMO,2.163,,0.652,,2.153,,0.705,,1.82,1.687,0.643,0.555,3.429,2.951,0.944,1.05,2.781,2.651,0.781,0.861,2.652,2.609,0.75,0.599,3.611,3.374,1.021,0.98,3.936,4.107,1.278,0.842,2.73,3.029,1.215,1.036,
FJ190724-004,bim,W,PF,DY,3.882,3.145,0.771,0.876,2.455,2.542,0.875,0.883,1.954,2.273,0.79,0.738,3.656,,1.351,,3.006,3.914,1.198,1.413,2.976,2.812,1.07,1.287,4.937,4.839,1.154,1.395,4.291,3.001,0.584,1.178,3.213,3.227,0.622,0.83,
FJ190724-006,tern,W,PF,DY,2.188,2.11,0.648,0.512,1.785,1.893,0.507,0.475,1.492,1.466,0.469,0.443,2.58,2.597,1.039,0.991,2.043,1.986,0.735,1.018,2.122,2.068,0.523,0.55,2.818,2.763,0.785,1.019,2.908,2.52,1.07,1.142,2.111,2.196,0.901,0.915,
FJ190809-001,tern,W,PF,DMO,2.774,2.277,0.841,0.856,2.329,2.441,0.722,0.719,2.358,2.339,0.381,0.323,3.369,,1.148,,2.74,,0.85,,2.745,,0.62,,2.98,,0.884,,3.634,,0.902,,2.498,,0.618,,
FJ190809-002,tern,W,PF,DMO,1.893,2.07,0.648,0.622,1.646,1.656,0.556,0.5,1.401,1.452,0.419,0.327,2.201,2.603,0.873,0.885,2.12,2.11,0.602,0.609,2.049,1.881,0.545,0.454,2.5,2.764,0.868,0.809,3.112,3.089,0.691,0.833,2.074,2.205,0.669,0.815,
FJ190809-003,bor,W,DY,DY,2.645,2.489,0.724,0.783,1.941,2.017,0.634,0.601,1.562,1.834,0.583,0.604,3.783,3.466,1.073,1.413,2.026,2.543,1.301,1.002,2.762,2.595,0.846,0.787,3.616,3.804,1.019,1.27,4.061,3.968,1.094,1.217,2.59,2.506,0.914,1.001,
FJ190809-004,tern,W,PF,DMO,1.598,2.075,0.674,0.544,1.701,2.038,0.661,,1.509,1.051,0.548,0.519,2.442,,1.04,,2.136,,0.942,,2.155,,0.664,,2.946,2.947,0.719,0.905,3.242,3.147,0.946,0.86,2.147,2.166,0.884,0.837,Margins on one forelimb hard to distinguish
FJ190809-005,tern,W,DY,PF,1.733,,0.428,,1.514,,0.439,,1.215,,0.357,,2.046,2.251,0.838,0.733,1.966,1.945,0.643,0.514,1.681,1.646,0.538,0.486,2.482,2.463,0.781,0.798,2.453,2.453,0.868,0.732,1.915,1.75,0.671,0.55,
FJ190809-006,tern,W,PF,DMO,2.168,,0.656,,1.854,,0.468,,1.537,,0.49,,2.121,2.715,0.975,1.201,2.377,2.474,0.789,0.772,2.219,2.168,0.701,0.64,2.909,3.036,0.959,0.617,3.418,3.253,1.07,0.712,2.031,2.18,0.955,0.813,
FJ190809-007,tern,W,DY,PF,1.764,1.777,0.48,0.516,1.533,1.507,0.515,0.423,1.216,1.194,0.302,0.322,2.203,2.256,0.887,0.861,1.925,1.981,0.71,0.733,1.663,1.656,0.627,0.557,2.26,2.338,0.791,0.641,2.838,2.846,0.792,0.773,1.637,1.618,0.851,0.632,
FJ190809-008,tern,W,DY,PF,1.736,,0.489,,1.467,,0.392,,1.192,,0.284,,1.839,1.837,0.745,0.786,1.979,1.715,0.554,0.608,1.621,1.61,0.401,0.482,2.32,2.147,0.711,0.61,2.526,2.705,0.873,0.44,1.639,1.699,0.73,0.322,
FJ190809-009,tern,W,DY,PF,1.617,,0.475,,1.355,,0.345,,1.091,,0.3,,2.489,,0.678,,2.46,,0.605,,1.593,,0.53,,2.504,1.963,0.716,0.632,1.557,2.075,0.549,0.668,1.489,1.613,0.324,0.524,
FJ190809-010,tern,W,DY,PF,2.356,,0.832,,1.879,,0.767,,1.703,,0.375,,2.448,2.158,0.902,0.752,1.624,2.67,0.613,0.58,1.747,1.868,0.547,0.678,2.223,,0.814,,2.707,,0.695,,1.835,,0.497,,
FJ190809-012,tern,W,DY,PF,1.229,1.751,0.452,0.412,1.401,1.42,0.413,0.337,1.191,1.25,0.313,0.296,2.028,1.93,0.778,0.778,1.787,1.76,0.607,0.625,1.58,1.594,0.412,0.495,2.703,2.381,0.724,0.712,2.593,2.591,0.785,0.777,1.772,1.575,0.619,0.649,
FJ190809-013,tern,W,DY,PF,1.8,,0.446,,1.518,,0.514,,1.114,,0.353,,2.277,2.215,0.818,0.829,1.652,1.814,0.627,0.603,1.715,1.53,0.456,0.52,2.082,2.052,0.689,0.692,2.363,2.694,0.523,0.654,1.704,1.451,0.471,0.599,
FJ190814-002,imp,M,DY,DY,3.796,3.259,0.791,0.74,2.008,2.16,0.561,0.691,1.935,2.139,0.43,0.326,4.19,,1.087,,3.643,,1.141,,3.001,,0.823,,4.19,,1.087,,3.643,,1.141,,3.001,,0.823,,
FJ190814-003,bim,M,DY,DY,,,,,,,,,,,,,4.564,4.388,1.144,1.37,2.746,2.872,1.157,1.132,3.375,3.364,0.691,0.679,4.134,4.93,1.262,1.314,4.353,4.523,1.184,1.122,3.248,3.432,0.876,0.738,
FJ190814-004,bim,W,PF,DMO,,,,,,,,,,,,,2.387,2.391,1.117,0.987,2.222,2.159,0.779,0.891,2.328,2.409,0.64,0.677,3.083,3.231,0.921,0.986,3.251,3.315,1.018,1.28,2.343,2.38,0.967,0.829,
FJ190814-005,bim,M,DY,DY,4.005,3.754,0.896,0.593,2.189,2.097,0.681,0.543,2.099,2.074,0.512,0.385,2.998,2.983,1.369,1.201,2.881,2.57,1.134,1.044,3.157,3.33,0.708,0.783,3.786,3.935,1.122,1.141,4.363,4.309,1.197,1.467,3.139,3.074,0.72,0.567,
FJ190814-006,imp,W,PF,DMO,2.027,2.374,0.715,0.698,2.028,2.143,0.682,0.711,1.854,1.919,0.686,0.541,,,,,,,,,,,,,3.382,3.439,1.207,1.148,3.637,4.133,1.093,1.029,3.041,2.85,1.258,1.071,
FJ190814-007,imp,W,DY,DY,2.464,2.372,0.836,0.566,2.093,2.026,0.496,0.649,1.678,1.83,0.579,0.578,3.239,2.786,1.024,1.129,2.351,2.376,0.854,0.802,2.477,2.581,0.776,0.696,4.175,3.375,0.935,0.955,3.751,3.662,1.362,1.45,2.543,2.407,1.114,1.177,
FJ190814-008,imp,W,DY,DY,2.327,4.087,0.622,0.804,1.936,2.646,0.652,0.742,2.055,2.163,0.691,0.784,3.548,3.754,1.262,1.293,2.882,2.664,1.1,1.207,3.066,2.848,0.914,0.955,3.938,,1.335,,4.232,4.329,1.448,1.637,3.296,3.157,1.316,1.53,
FJ190814-009,bim,W,PF,DMO,2.79,,0.81,,2.227,,0.595,,1.818,,0.626,,2.908,2.727,1.293,1.219,2.642,2.807,0.976,1.038,2.93,2.802,0.772,0.817,3.36,3.705,1.119,1.106,4.17,4.005,1.277,1.055,2.681,2.663,0.992,0.974,
FJ190815-001,vag,W,DY,PF,1.916,1.69,0.554,0.447,1.641,1.47,0.524,0.501,1.497,1.23,0.405,0.317,2.273,,0.901,,2.03,,0.744,,1.865,,0.578,,2.512,,0.807,,2.762,,0.942,,1.88,,0.875,,
FJ190815-022,imp,W,DY,DY,3.093,3.652,0.696,0.661,1.947,2.099,0.477,0.587,1.76,1.674,0.537,0.565,2.734,2.862,1.001,1.092,2.399,2.584,0.74,0.852,2.441,2.432,0.63,0.655,3.246,3.121,0.979,1.005,3.423,3.38,1.254,1.352,2.53,2.441,1.293,1,
FJ190822-002,imp,W,DY,DY,4.033,3.83,0.761,0.667,2.689,2.42,0.604,0.923,1.966,2.158,0.663,0.788,,3.614,,1.653,3.018,3.198,1.189,0.976,2.848,3.054,1.152,0.784,5.123,4.77,1.676,1.284,2.998,4.618,1.418,1.748,5.486,2.722,1.356,1.527,
FJ190822-003,imp,W,DY,DY,3.864,,0.937,,2.818,,0.832,,2.331,,0.739,,3.479,,1.403,,3.404,,1.119,,3.395,,0.861,,4.744,5.595,1.562,1.063,4.55,,1.565,,3.444,3.884,1.486,1.392,
FJ190822-006,bim,M,DY,DY,2.618,,0.744,,2.229,,0.661,,2.023,,0.392,,3.247,,0.856,,2.402,,0.751,,2.025,,0.435,,3.484,3.985,1.116,1.162,2.875,2.694,0.978,1.03,2.806,3.188,0.729,0.646,
FJ190822-007,bim,M,PF,DY,3.617,3.615,0.671,0.652,2.212,2.584,0.507,0.677,2.122,1.869,0.35,0.417,3.273,3.225,1.159,1.242,3.039,2.804,0.875,0.799,3.327,3.226,0.468,0.545,3.753,4.216,1.182,1.351,4.199,4.313,1.112,1.045,3.32,3.567,1.045,0.804,
FJ190827-001,vag,W,DY,PF,2.183,2.004,0.629,0.513,1.689,1.695,0.515,0.531,1.502,1.47,0.432,0.462,2.643,2.44,1.113,0.895,2.215,1.977,0.676,0.676,2.116,1.803,0.576,0.58,2.918,3.144,1.003,0.906,3.382,2.966,0.954,1.016,2.022,2.079,0.806,0.933,
FJ190827-002,bor,W,PF,DMO,3.127,,1.354,,2.49,,0.691,,1.996,,0.61,,3.451,3.502,1.312,1.245,3.277,3.16,1.056,1.011,3.133,3.132,0.671,0.631,4.885,,1.275,,4.811,,1.189,,3.141,,1.118,,
FJ190827-003,vag,W,DY,PF,1.846,2.235,0.709,0.669,1.827,1.587,0.646,0.647,1.376,1.507,,0.408,2.636,2.658,1.05,0.985,2.111,2.314,0.949,0.864,2.011,2.115,0.598,0.685,2.842,2.657,0.957,0.865,3.217,2.987,1.113,1.032,1.922,2.187,0.869,1.008,
FJ190827-004,vag,W,DY,PF,2.158,2.117,0.564,0.568,1.564,1.737,0.454,0.504,1.428,1.365,0.421,0.416,,,,,,,,,,,,,2.621,3.15,0.785,0.897,3.062,3.127,0.798,1.063,2.276,2.116,0.906,0.977,
FJ190827-005,bor,W,DY,DY,,,,,,,,,,,,,,,,,,,,,,,,,3.616,3.804,1.019,1.27,4.061,3.968,1.094,1.217,2.59,2.506,0.914,1.001,
FJ190827-006,bim,M,DY,DY,3.922,3.667,0.652,0.784,,2.285,,0.574,2.835,2.043,0.427,0.502,2.971,3.273,1.217,1.391,3.013,2.676,1.063,1.083,3.257,3.261,0.502,0.587,3.932,4.166,1.224,1.021,4.079,4.353,1.13,0.913,3.049,3.111,0.763,0.696,
FJ190827-007,bor,W,PF,DMO,2.904,2.977,1.101,0.789,2.436,2.488,0.746,0.732,2.083,2.196,0.702,0.701,3.46,3.154,1.372,1.301,3.063,2.986,0.998,1.1,3.049,3.25,0.638,0.79,3.911,,1.194,,4.268,,1.423,,3.185,,1.322,,
FJ190827-008,imp,M,DY,DY,,,,,1.955,,0.585,,1.661,,0.414,,,2.563,,1.112,2.49,2.648,0.866,0.826,2.918,2.728,0.547,0.587,3.514,4.053,0.879,0.914,3.739,3.614,0.891,0.936,2.967,2.592,0.538,0.779,
FJ190827-009,ferv,W,PF,DMO,2.784,2.579,0.864,0.791,2.398,2.144,0.691,0.732,1.73,1.797,0.618,0.628,3.027,,1.264,,2.761,,1.023,,2.536,,0.568,,3.798,4.529,1.143,1.167,4.229,4.158,1.221,1.283,2.818,2.778,1.141,1.011,
FJ190827-013,bim,W,DY,DY,2.783,2.828,0.849,0.654,2.326,2.343,0.612,0.766,2.152,2.153,0.691,0.634,2.723,3.445,1.205,1.305,2.896,2.456,1.14,1.348,2.617,2.959,0.957,1.066,4.152,3.156,1.114,1.279,3.983,4.12,1.439,1.285,3.05,2.652,1.13,1.326,
FJ190827-014,imp,W,DY,DY,3.213,3.172,0.61,0.612,2.017,2.082,0.492,0.701,1.741,1.799,0.522,0.591,3.805,2.965,1.152,0.999,2.544,2.574,0.739,0.936,2.573,2.427,0.675,0.766,4.09,3.372,0.996,1.085,4.13,3.796,1.365,1.292,2.558,2.716,1.081,1.147,
FJ190827-015,imp,W,DY,DY,2.577,3.36,0.805,0.892,2.174,2.302,0.671,0.675,2.017,1.813,0.524,0.671,3.413,3.026,1.109,0.953,2.307,2.178,0.914,1.069,2.49,2.463,0.772,0.96,4.496,3.679,1.117,1.176,3.776,3.987,1.217,1.123,2.706,2.541,1.139,1.09,
FJ190827-016,imp,W,DY,DY,3.022,3.053,0.609,0.502,1.892,1.987,0.616,0.603,1.802,1.839,0.601,0.63,2.895,,1.044,,2.427,,0.839,,2.558,,0.671,,4.029,3.171,1.011,0.971,3.796,3.844,1.265,1.387,2.665,2.558,1.152,1.147,
FJ190827-017,tern,W,DY,PF,2.022,2.002,0.571,0.659,1.693,1.591,0.47,0.452,1.335,1.409,0.382,0.409,2.498,2.223,0.619,0.794,2.179,1.911,0.834,0.814,1.629,1.91,0.581,0.567,2.396,2.43,0.856,0.903,2.842,2.93,0.97,0.949,1.907,1.93,0.857,0.922,
FJ190827-017,ferv,W,DY,DY,3.602,,0.839,,2.177,,0.749,,1.719,,0.627,,2.979,,1.356,,2.613,,0.973,,2.781,,0.804,,2.979,3.195,1.356,1.27,2.613,3.999,0.973,1.239,2.781,2.526,0.804,0.936,
FJ190827-018,tern,W,DY,PF,,,,,1.434,1.784,0.445,0.443,1.282,1.346,0.359,0.311,2.393,2.58,0.933,0.893,2.084,2.194,0.716,0.798,1.913,1.908,0.564,0.428,3.133,2.947,0.775,0.811,2.834,2.761,0.877,0.957,1.742,1.889,0.589,0.861,
FJ190827-019,tern,W,DY,PF,1.541,1.746,0.439,0.531,1.62,1.602,0.463,0.461,1.288,1.061,0.372,0.329,2.411,2.285,0.879,0.952,2.092,2.009,0.654,0.658,1.944,1.801,0.46,0.544,2.547,2.661,0.746,0.897,2.837,2.999,0.808,0.773,2.017,1.877,0.736,0.65,
FJ190828-001,imp,W,DY,DY,3.767,3.407,0.72,0.764,2.207,2.204,0.633,0.679,1.891,2.095,0.665,0.618,3.165,2.923,1.14,1.26,2.567,2.648,0.901,0.917,2.722,2.777,0.679,0.616,4.245,4.275,1.06,1.236,3.932,4.037,1.372,1.854,2.761,2.409,1.503,1.445,
FJ190828-002,imp,W,DY,DY,2.885,3.87,0.664,0.772,2.387,2.336,0.828,0.87,2.012,2.118,0.823,0.622,3.248,3.839,1.396,1.261,3.153,2.898,1.313,1.518,2.829,2.957,1.089,1.044,3.925,3.735,1.435,1.381,4.957,4.429,1.293,1.219,3.053,2.87,1.244,1.381,
FJ190828-003,imp,W,DY,DY,,,,,,,,,,,,,4.245,4.275,1.06,1.236,3.932,4.037,1.372,1.854,2.761,2.409,1.503,1.445,4.825,5.27,1.297,1.25,4.486,4.792,1.417,1.64,3.188,3.54,1.43,1.365,
FJ190828-004,bim,M,DY,DY,,,,,2.42,3.258,0.766,0.75,2.26,,0.723,,3.277,,1.049,,2.252,,1.245,,3.053,,0.616,,4.413,4.401,1.038,1.125,3.961,4.046,0.984,0.939,3.101,2.906,0.707,0.7,
FJ190828-004,bim,M,DY,DY,2.987,2.987,0.927,0.927,2.174,2.174,0.667,0.667,2.058,2.058,0.467,0.467,3.229,3.003,1.547,1.4,2.905,2.913,1,1.054,3.058,2.986,0.828,0.804,3.628,3.767,1.006,1.104,3.873,3.954,1.283,0.969,3.171,2.729,0.898,0.791,
FJ190905-001,imp,W,DY,DY,,2.222,,0.79,,1.731,,0.682,2.222,,0.79,,,,,,1.998,1.816,1.001,0.663,2.324,1.761,0.805,0.631,2.826,,0.951,,3.683,3.626,1.737,1.41,2.413,2.395,0.723,1.429,
FJ190905-002,imp,W,DY,DY,2.866,2.416,0.808,0.846,2.494,2.923,0.636,0.766,2.085,,0.615,,3.035,,1.349,,2.713,2.798,0.976,0.954,3.033,3.015,0.861,0.791,3.706,3.757,1.144,1.071,4.116,4.12,1.322,0.953,3.169,2.449,1.322,0.955,
FJ190905-003,imp,W,PF,DMO,2.227,2.549,0.654,0.784,2.353,2.237,0.654,0.678,1.503,1.921,0.569,0.649,2.815,2.894,1.087,1.064,2.645,2.565,0.978,1.059,2.779,2.861,0.69,0.827,3.732,3.544,1.149,1.109,3.994,3.953,0.995,1.327,2.837,2.55,1.162,1.295,
GFO190709-001,bor,Q,PF,DY,3.675,3.982,1.165,1.186,2.937,3.035,0.927,0.983,2.479,2.605,0.973,0.892,4.441,4.488,1.887,1.614,3.437,3.61,1.472,1.46,3.878,3.766,1.04,1.025,5.4,5.214,1.587,1.674,5.507,5.631,1.877,2,3.707,3.599,1.312,1.393,
HFN190709-001,san,W,CL,PF,3.34,3.033,1.037,0.661,2.246,2.082,0.755,0.534,,1.499,,0.459,3.038,,1.034,,2.536,,1.115,,2.5,2.468,0.753,0.863,3.242,2.987,1.033,0.954,3.549,3.878,1.211,1.001,2.4,,1.024,,
JL190619-003,tern,Q,CL,CL,2.334,2.497,0.732,0.651,2.237,2.162,0.704,0.744,1.865,1.967,0.727,0.668,3,2.35,1.041,1.009,2.859,,0.938,,2.908,2.624,0.777,0.989,3.144,3.231,1.023,1.135,4.177,4.087,1.077,1.333,2.97,2.599,1.093,0.762,
JL190627-001,bim,W,DY,DY,2.304,2.291,0.738,0.749,1.848,1.644,0.566,0.723,1.592,1.467,0.496,0.644,2.502,,1.026,,2.231,2.051,0.791,0.874,2.217,2.149,0.717,0.627,2.614,2.722,0.785,0.924,3.196,2.896,0.674,0.609,1.897,1.867,0.739,0.763,
JL190627-002,imp,W,CL,CL,2.207,2.206,0.613,0.703,1.861,1.953,0.509,0.613,1.703,1.962,0.459,0.72,3.033,2.839,0.899,0.891,2.548,2.555,0.824,0.836,,,0.76,,3.252,3.179,0.824,0.975,,3.544,1.068,1.092,,2.161,,0.908,
JL190703-001,vag,Q,DY,PF,2.303,,0.65,,1.921,,0.612,,1.433,,0.464,,2.959,2.426,0.781,0.9,2.324,1.948,0.88,0.763,2.254,2.294,0.706,0.621,2.852,3.094,0.902,0.849,3.45,3.513,0.923,1.181,2.25,2.226,0.859,0.765,
JL190703-003,bim,W,DY,DY,,,,,1.74,,0.604,,1.445,,0.415,,2.47,2.491,1.158,0.848,2.021,2.296,0.925,0.963,2.148,2.276,0.695,0.585,3.132,2.856,0.965,1.109,3.003,2.961,0.953,0.805,1.983,2.146,0.917,0.631,
JL190703-004,bim,W,DY,DY,2.395,2.552,0.78,0.731,2.172,2.008,0.739,0.743,1.968,1.915,0.724,0.679,,3.101,,1.296,2.588,,1.052,,2.705,,0.914,,3.601,,1.35,,2.432,3.457,1.203,1.501,2.553,2.645,1.153,0.96,
JL190703-004,vag,W,DY,DY,2.084,,0.665,,1.721,,0.609,,1.408,,0.461,,2.53,,1.013,,2.159,,0.818,,2.027,,0.597,,2.827,,0.896,,3.124,,1.04,,2.265,,0.712,,
JL190703-005,tern,W,CL,CL,,,,,,,,,,,,,2.499,2.727,1.078,1.179,2.426,2.416,0.916,0.866,2.256,2.274,0.642,0.588,3.523,3.113,0.914,0.951,3.344,3.309,1.092,0.699,2.708,2.57,1.048,0.699,
JL190703-006,tern,W,CL,CL,2.2,,0.618,0.481,1.896,1.989,0.573,0.596,,1.541,0.504,0.403,2.363,2.568,1.093,0.975,2.293,2.306,0.745,0.826,2.19,,0.524,,2.812,3.262,0.81,1.064,3.456,3.163,0.886,0.94,,2.249,0.818,0.787,
JL190703-007,bim,W,DY,DY,2.48,2.576,0.784,0.807,2.139,2.152,0.635,0.615,2.529,2.032,0.646,0.597,3.86,2.852,1.305,1.022,2.489,2.488,1.087,0.979,2.604,2.555,0.751,0.79,3.595,3.428,1.205,1.19,3.702,3.879,1.241,1.365,2.469,2.408,0.981,1.092,
JL190703-008,bim,W,CL,CL,2.417,,0.677,,2.333,,0.744,,1.844,,0.715,,3.414,,1.048,,2.793,2.7,1.045,1.123,2.794,2.708,0.612,0.909,3.718,3.459,1.202,0.852,3.844,3.919,0.939,1.066,2.884,2.787,1.095,1.123,
JL190703-009,terri,W,CL,CL,2.426,2.667,0.741,0.769,2.327,2.291,0.797,0.563,1.992,1.863,0.674,0.625,3.104,3.129,1.146,1.23,3.144,2.769,0.917,1.072,,,0.808,0.88,2.695,3.742,1.006,1.204,4.251,3.791,0.939,1.079,3.255,2.964,1.16,1.045,
JL190703-010,terri,W,CL,CL,2.154,,0.674,,2.181,,0.674,,,,0.616,,2.666,,0.791,,2.292,,0.726,,2.056,,0.711,,3.862,,1.163,,4.248,,1.366,1.43,3.047,,1.246,1.142,
JL190703-011,tern,W,CL,CL,2.01,,0.615,,1.778,,0.698,,1.586,,0.604,,2.384,2.592,0.964,0.895,2.118,2.377,0.853,0.757,2.072,2.091,0.546,0.621,2.841,,0.815,,3.3,3.141,0.831,1.036,2.363,1.999,0.836,0.981,
JL190703-012,bim,W,DY,DY,3.699,,0.739,,2.373,2.065,0.634,0.761,2.065,1.888,0.631,0.61,,,,,,,,,,,,,4.243,3.678,1.205,1.698,3.901,4.17,1.097,1.265,2.86,2.596,1.002,0.963,
JL190703-013,bim,W,DY,DY,1.867,2.127,0.574,0.658,1.726,1.675,0.415,0.567,1.522,1.598,0.526,0.538,2.559,2.391,0.984,0.887,2.127,2.122,0.783,0.79,2.113,,0.553,,2.671,2.557,0.905,0.892,3.004,3.015,1.06,0.934,2.18,1.943,0.912,0.835,
JL190703-013,bim,W,DY,PF,1.595,,0.559,,1.557,,0.408,,1.212,,0.416,,2.182,1.942,0.821,0.773,1.932,1.786,0.661,0.803,1.895,1.767,0.578,0.513,2.368,2.56,0.835,0.855,2.683,2.7,0.888,0.973,2.044,1.807,0.777,0.704,
JL190709-003,vag,W,DY,PF,1.672,1.303,0.41,0.387,1.264,1.413,0.408,0.508,1.079,1.626,0.331,0.417,2.041,,0.625,,1.631,,0.648,,1.583,,0.428,,2.043,2.004,0.699,0.693,2.401,2.43,0.649,0.931,1.731,1.723,0.672,0.639,
JL190710-001,vag,W,DY,PF,1.946,1.624,0.59,0.522,1.584,1.296,0.423,0.45,1.346,1.391,0.325,0.411,2.339,,0.853,,1.921,2.038,0.743,0.752,2.028,2.026,0.587,0.598,2.752,2.422,0.843,0.805,3.012,2.875,1.248,0.842,2.072,1.978,1.021,0.893,
JL190710-002,imp,W,CL,CL,2.25,,0.7,0.485,1.968,2.118,0.711,0.747,1.77,,0.677,0.546,2.591,2.984,0.993,1.087,2.412,2.312,0.93,0.869,2.27,2.566,0.611,0.668,3.24,3.251,0.962,0.994,3.227,3.415,0.959,0.97,2.714,2.511,1.124,1.092,
JL190710-005,vag,W,DY,PF,,,,,,,,,,,,,,,,,,,,,,,,,3.177,2.735,0.855,0.897,3.465,3.307,1.245,1.148,2.229,2.285,0.792,0.732,
JL190711-001,tern,W,CL,CL,,,,,,,,,,,,,2.681,2.859,0.866,1.049,2.291,2.366,0.86,0.934,2.204,2.198,0.781,0.599,2.909,2.969,1.057,1.063,3.35,3.09,1.194,1.086,2.389,2.54,0.793,0.951,
JL190711-002,tern,W,CL,CL,2.119,,0.618,0.546,1.947,1.837,0.569,0.689,,1.617,0.611,0.512,2.345,2.714,1.046,0.96,2.33,2.225,0.69,0.795,2.14,,0.504,,3.126,2.756,0.909,0.854,3.42,3.397,0.831,0.869,2.162,2.047,0.83,0.822,
JL190711-004,terri,W,CL,CL,,,,,,,,,,,,,3.082,3.602,1.018,1.201,3.226,2.703,0.801,1.197,2.846,2.919,0.734,0.865,3.52,3.742,1.113,1.3,4.44,4.548,1.03,1.275,2.964,2.9,0.991,1.35,
JL190711-005,terri,W,CL,CL,2.622,2.595,0.635,0.654,2.161,1.928,0.723,0.599,2.127,1.807,0.678,0.646,2.97,3.071,0.945,1.181,2.757,2.603,0.853,0.906,2.445,2.527,0.76,0.703,3.733,4.218,1.078,0.982,4.014,4.081,1.152,1.234,2.617,2.579,0.861,1.157,
JL190711-006,terri,W,CL,CL,2.676,,0.699,,2.188,,0.805,,2.011,,0.743,,3.097,3.366,1.194,1.068,2.818,2.789,1.112,1.192,2.681,2.236,0.842,0.654,3.455,3.52,0.981,1.139,4.271,4.186,1.539,1.179,2.776,2.604,1.42,1.229,
JL190711-008,san,M,CL,CL,2.099,,0.739,,1.873,,0.635,,1.614,,0.508,,2.719,3.066,0.918,0.973,2.567,2.659,0.802,0.836,2.43,2.69,0.366,0.467,2.903,,0.926,0.948,3.659,3.429,1.048,1.005,2.71,2.861,0.786,0.677,
JL190716-001,tern,W,CL,CL,2.099,,0.481,,1.793,,0.594,,1.695,,0.569,,2.658,2.854,0.869,0.943,2.162,2.38,0.577,0.884,2.108,2.064,0.581,0.69,2.895,2.686,0.872,0.805,3.155,3.373,1.066,0.948,2.431,2.172,1.066,0.957,
JL190716-002,tern,W,CL,CL,1.637,2.119,0.546,0.435,1.877,1.783,0.558,0.394,1.523,1.456,0.491,0.45,2.581,,0.963,0.699,2.177,2.088,0.791,0.72,1.987,2.007,0.479,0.569,2.991,2.63,0.891,0.801,2.903,3.291,1.092,0.912,2.164,2.071,0.873,0.974,
JL190716-003,vag,W,CL,CL,1.856,1.916,0.579,0.495,1.57,1.51,0.579,0.395,1.415,,0.532,,2.305,2.708,0.863,0.897,1.877,2.137,0.626,0.844,1.96,1.957,0.411,0.423,2.408,2.097,0.851,0.685,3.008,2.606,0.817,0.969,2.134,2.121,0.672,0.924,
JL190716-004,imp,W,CL,CL,2.115,1.937,0.483,0.742,1.956,1.884,0.503,0.626,1.942,1.634,0.531,0.587,2.435,,0.81,,2.504,,0.811,,2.086,,0.615,,2.713,2.762,0.907,0.932,3.35,3.266,0.562,1.071,2.538,2.481,0.894,1.028,
