specimen.id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,digitizer,species.det,provisional.species,caste,its,body.length,scale,name,description
OW220708-006,3.679836277,0.904317872,6.933838404,0.329958777,0.177304947,3.150894309,0.221687926,0.940527234,0.186094202,0.423565957,2.916412287,0.575353936,4.07330133,0.705604681,0.559624043,DRA,griseocollis,griseocollis,W,5.808049444,19.95852548,188,m01,Mentum length
OW220708-010,3.783373793,1.104433473,NA,0.286668536,NA,3.195754471,0.319398065,0.878012984,0.21586916,0.325908594,2.177564183,NA,4.217975085,0.730085941,NA,DRA,griseocollis,griseocollis,W,4.588338601,19.40895376,252.03174,m01,Mentum length
OW220714-001,2.99792305,0.716269201,5.775499177,0.284950547,0.126996586,2.736505119,0.271149517,0.637430631,0.156784887,NA,2.802719414,0.330998615,3.575798782,0.526955421,0.545009872,DRA,griseocollis,griseocollis,M,5.90852508,19.45173757,268.1865,m01,Mentum length
OW220714-002,2.777981257,1.00198662,4.863090195,0.258859357,0.123340427,2.856879633,0.351222743,0.802332001,0.204339986,NA,2.725359538,0.414852036,3.587447221,0.742349901,0.643363856,DRA,griseocollis,griseocollis,W,4.641224781,19.3483097,236.37635,m01,Mentum length
OW220714-004,3.080151293,0.774631345,5.991613723,0.206895974,0.107919691,2.767575509,0.30294868,0.809970236,0.207549903,NA,2.66433708,0.361019479,3.776714535,0.554921276,0.502921041,DRA,griseocollis,griseocollis,M,NA,19.73672582,222.73053,m01,Mentum length
OW220714-005,3.495674085,1.080655648,8.038607616,0.267220617,0.11294296,3.813034095,0.34774492,0.96349537,0.271348052,NA,3.465771164,0.324970082,4.65270514,0.845551699,0.790016449,DRA,griseocollis,griseocollis,W,5.776192217,23.82110419,170.99968,m01,Mentum length
OW220714-008,2.632455067,0.603281257,4.064458147,0.188708934,0.075240023,1.765192134,0.318653518,0.539873919,0.176776701,NA,1.993757333,0.238358041,2.336215594,0.508431579,0.4683477,DRA,griseocollis,griseocollis,W,3.277895161,13.86353277,316.63228,m01,Mentum length
OW220720-001,3.130947327,1.127108978,5.555147664,0.335020985,0.114448802,2.57153864,0.336322489,0.780159401,0.227225765,0.401321162,2.529180282,0.313741274,3.373182197,0.677586684,0.562012499,DRA,terricola,terricola,W,5.012134968,19.4815829,236.54175,m01,Mentum length
OW220720-004,2.481748727,1.082958889,5.990614431,0.25212937,0.056159109,2.747139587,0.332244379,0.739396844,0.196864315,NA,2.79224316,0.299149782,3.367326103,0.661890572,0.52109025,DRA,griseocollis,griseocollis,W,4.147092574,17.05012218,254.95098,m01,Mentum length
OW220720-007,2.780157772,0.911025277,4.395652359,0.313990663,0.111996368,3.08339091,0.253463156,0.863669733,0.185597839,NA,3.069455663,0.233226418,4.169353933,0.743770603,0.63214718,DRA,griseocollis,griseocollis,M,6.11295847,21.04898541,282.85685,m01,Mentum length
