specimen.ID,digitizer,species.det,provisional.species,caste,ITS,body.length,scale,name,description,value
,,,,,,,,m14,Galea width,200.99751
,,,,,,,,m15,"Stipes width, across from palp",183.09439
DRA170708-901,DRA,perplexus,cf perplexus,W,3.718285764,16.51166189,249.39037,m01,Mentum length,629.53951
,,,,,,,249.46164,m02,Mentum width,335.3446
,,,,,,BL scale,234.8522,m03,Glossa length,1507.63071
,,,,,,180.09997,246.04245,m04,"Glossa width, at mid-point",70.25667
,,,,,,186.01075,,m05,Flabellum length,37.36308
,,,,,,174,,m06,Labial palpomere 1 length,628.21175
,,,,,,,,m07,Labial palpomere 1 width,91.72907
,,,,,,raw,,m08,Labial palpomere 2 length,248.53348
,,,,,,2972.70853,,m09,Labial palpomere 2 width,59.20961
,,,,,,,,m10,Distal labial palpomeres length,98.63964
,,,,,,,,m11,Stipes length,698.69847
,,,,,,,,m12,Maxillary palp length,83.352
,,,,,,,,m13,Galea length,886.25755
,,,,,,,,m14,Galea width,191.44828
,,,,,,,,m15,"Stipes width, across from palp",134.69307
DRA170708-902,DRA,perplexus,cf perplexus,W,NA,15.27606583,224,m01,Mentum length,627.61134
,,,,,,,236.0339,m02,Mentum width,186.34377
,,,,,,BL scale,232.13789,m03,Glossa length,1136.60899
,,,,,,172,232.03448,m04,"Glossa width, at mid-point",63.56099
,,,,,,184.04347,236,m05,Flabellum length,32.64966
,,,,,,184.04347,236.0339,m06,Labial palpomere 1 length,570.20542
,,,,,,,,m07,Labial palpomere 1 width,56.69411
,,,,,,raw,,m08,Labial palpomere 2 length,230.40062
,,,,,,2750.13455,,m09,Labial palpomere 2 width,36.02468
,,,,,,,,m10,Distal labial palpomeres length,65.45567
,,,,,,,,m11,Stipes length,628.25473
,,,,,,,,m12,Maxillary palp length,71.75266
,,,,,,,,m13,Galea length,840.71189
,,,,,,,,m14,Galea width,133.07976
,,,,,,,,m15,"Stipes width, across from palp",65.59133
DRA220617-015,DRA,ternarius,ternarius,W,3.862376458,13.95914052,320.89874,m01,Mentum length,NA
,,,,,,,324.6167,m02,Mentum width,225.36193
,,,,,ITS pixels,BL pixels,328.39001,m03,Glossa length,1514.78051
,,,,,684.42092,2510.77583,328.39001,m04,"Glossa width, at mid-point",79.32213
,,,,,,,344.83619,m05,Flabellum length,34.17601
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,666.51332
,,,,,168.04761,168.19037,,m07,Labial palpomere 1 width,72.69113
,,,,,188.17014,186.17196,,m08,Labial palpomere 2 length,269.47356
,,,,,176.18172,182.39518,,m09,Labial palpomere 2 width,48.08326
,,,,,176.40862,182.39518,,m10,Distal labial palpomeres length,100.71743
,,,,,,180.17769,,m11,Stipes length,738.77737
,,,,,,,,m12,Maxillary palp length,84.87638
,,,,,,,,m13,Galea length,938.65126
,,,,,,,,m14,Galea width,193.35201
,,,,,,,,m15,"Stipes width, across from palp",134
