specimen_id,species,caste,investigator,LM,scale,measurement,scale1,body,scale2,its,notes
,,,,13,,977.652,,,,,
,,,,14,,181.218,,,,,
,,,,15,,124.016,,,,,
FJ190716-003,vag,W,JL,1,256.323,610.02,68.98,1141.602,69.453,282.899,
,,,,2,,185.946,,,,,
,,,,3,,882.956,,,,,
,,,,4,,61.392,,,,,
,,,,5,,26.306,,,,,
,,,,6,,548.951,,,,,
,,,,7,,98.229,,,,,
,,,,8,,235.48,,,,,
,,,,9,,51.225,,,,,
,,,,10,,89.364,,,,,
,,,,11,,560.803,,,,,
,,,,12,,86.177,,,,,
,,,,13,,866.987,,,,,
,,,,14,,178.37,,,,,
,,,,15,,125.3,,,,,
FJ190709-011,vag,W,JL,1,263.093,662.157,69.452,1569.077,69.409,298.965,
,,,,2,,195.494,,,,,
,,,,3,,979.892,,,,,
,,,,4,,67.683,,,,,
,,,,5,,32,,,,,
,,,,6,,604.567,,,,,
,,,,7,,110.168,,,,,
,,,,8,,246.126,,,,,
,,,,9,,66.008,,,,,
,,,,10,,93.263,,,,,
,,,,11,,610.237,,,,,
,,,,12,,95.365,,,,,
,,,,13,,950.617,,,,,
,,,,14,,216.19,,,,,
,,,,15,,153.883,,,,,
FJ190709-001,vag,W,JL,1,307.724,716.308,69.697,1304.099,69.012,284.113,vag all has hairy tips
,,,,2,,201.95,,,,,
,,,,3,,927.646,,,,,
,,,,4,,69.065,,,,,
,,,,5,,25.298,,,,,
,,,,6,,608.573,,,,,
,,,,7,,101.193,,,,,
,,,,8,,205.684,,,,,
,,,,9,,61.27,,,,,
,,,,10,,78.273,,,,,
,,,,11,,644.252,,,,,
,,,,12,,100.805,,,,,
,,,,13,,993.642,,,,,
,,,,14,,197.307,,,,,
,,,,15,,152.555,,,,,
FJ190703-012,vag,W,,1,296.436,720.139,68.633,1304.025,69.77,319.681,
,,,,2,,223.305,,,,,
,,,,3,,1032.581,,,,,
,,,,4,,70.937,,,,,
,,,,5,,35.468,,,,,
,,,,6,,655.015,,,,,
,,,,7,,98.813,,,,,
,,,,8,,249.201,,,,,
,,,,9,,68.964,,,,,
,,,,10,,89.658,,,,,
,,,,11,,655.278,,,,,
,,,,12,,145.634,,,,,
,,,,13,,1013.134,,,,,
,,,,14,,227.844,,,,,
,,,,15,,171.231,,,,,
FJ190703-009,vag,W,JL,1,308.603,747.262,68.476,1316.082,70.007,315.417,
,,,,2,,239.24,,,,,
,,,,3,,1075.13,,,,,
,,,,4,,71.805,,,,,
,,,,5,,34.015,,,,,
,,,,6,,648.007,,,,,
,,,,7,,117.614,,,,,
,,,,8,,274.591,,,,,
,,,,9,,64.125,,,,,
,,,,10,,95.846,,,,,
,,,,11,,661.436,,,,,
,,,,12,,123.407,,,,,
,,,,13,,1053.294,,,,,
,,,,14,,222.497,,,,,
,,,,15,,152.594,,,,,
FJ190703-002,vag,W,JL,1,306.894,688.941,68.805,1152.98,69.023,279.27,
,,,,2,,211.549,,,,,
,,,,3,,959.748,,,,,
,,,,4,,73.926,,,,,
,,,,5,,36.892,,,,,
,,,,6,,541.673,,,,,
,,,,7,,103.817,,,,,
,,,,8,,229.654,,,,,
,,,,9,,67.119,,,,,
,,,,10,,96.914,,,,,
,,,,11,,622.384,,,,,
,,,,12,,95.104,,,,,
,,,,13,,948.116,,,,,
,,,,14,,214.758,,,,,
,,,,15,,153.405,,,,,
FJ190628-002,vag,W,JL,1,314.17,702.684,70.082,1264.767,70.315,327.377,
,,,,2,,248.974,,,,,
,,,,3,,887.004,,,,,
,,,,4,,75.538,,,,,
,,,,5,,35.228,,,,,
,,,,6,,511.258,,,,,
,,,,7,,107.49,,,,,
,,,,8,,243.499,,,,,
,,,,9,,74.027,,,,,
,,,,10,,104.048,,,,,
,,,,11,,634.505,,,,,
,,,,12,,85.156,,,,,
,,,,13,,906.802,,,,,
,,,,14,,231.234,,,,,
,,,,15,,174.347,,,,,
DRA190709-014,vag,W,JL,1,310.424,635.901,71.049,1095.73,71.005,270.969,
,,,,2,,194.517,,,,,
,,,,3,,899.782,,,,,
,,,,4,,63.348,,,,,
,,,,5,,29.017,,,,,
,,,,6,,623.302,,,,,
,,,,7,,103.774,,,,,
,,,,8,,231.251,,,,,
,,,,9,,55.606,,,,,
,,,,10,,NA,,,,,
,,,,11,,623.785,,,,,
