specimen_id,species,caste,investigator,LM,scale,measurement,scale1,body,scale2,its,notes
FJ190809-013,tern,W,JL,1,314.551,654.404,139.843,1942.414,91.926,474.489,
,,,,2,,205.407,,,,,
,,,,3,,877.53,,,,,
,,,,4,,67,,,,,
,,,,5,,28.16,,,,,
,,,,6,,565.841,,,,,
,,,,7,,95.718,,,,,
,,,,8,,218.974,,,,,
,,,,9,,61.612,,,,,
,,,,10,,92.878,,,,,
,,,,11,,604.156,,,,,
,,,,12,,99.074,,,,,
,,,,13,,883.905,,,,,
,,,,14,,203.59,,,,,
,,,,15,,138.463,,,,,
FJ190809-010,tern,W,JL,1,323.063,665.652,139.445,2050.012,137.461,568.148,
,,,,2,,218.083,,,,,
,,,,3,,881.998,,,,,
,,,,4,,70.576,,,,,
,,,,5,,31.064,,,,,
,,,,6,,575.332,,,,,
,,,,7,,108.853,,,,,
,,,,8,,205.984,,,,,
,,,,9,,57.94,,,,,
,,,,10,,78.145,,,,,
,,,,11,,606.012,,,,,
,,,,12,,92.4,,,,,
,,,,13,,923.328,,,,,
,,,,14,,221.163,,,,,
,,,,15,,150.213,,,,,
FJ190809-012,tern,W,JL,1,298.955,611.703,137.285,1983.944,139.272,515.197,
,,,,2,,207.461,,,,,
,,,,3,,847.886,,,,,
,,,,4,,64.327,,,,,
,,,,5,,23.77,,,,,
,,,,6,,574.241,,,,,
,,,,7,,87.207,,,,,
,,,,8,,200.809,,,,,
,,,,9,,58.009,,,,,
,,,,10,,86.15,,,,,
,,,,11,,554.704,,,,,
,,,,12,,76.238,,,,,
,,,,13,,902.268,,,,,
,,,,14,,188.215,,,,,
,,,,15,,138,,,,,
FJ190809-009,tern,W,JL,1,315.232,637.1,140.021,1752.165,139.58,484.228,
,,,,2,,213.476,,,,,
,,,,3,,845.055,,,,,
,,,,4,,72.111,,,,,
,,,,5,,30.083,,,,,
,,,,6,,531.208,,,,,
,,,,7,,95.258,,,,,
,,,,8,,212.449,,,,,
,,,,9,,61.205,,,,,
,,,,10,,65.923,,,,,
,,,,11,,570.317,,,,,
,,,,12,,67.148,,,,,
,,,,13,,832.238,,,,,
,,,,14,,201.246,,,,,
,,,,15,,131.856,,,,,
FJ190809-008,tern,W,JL,1,303.467,631.589,141.391,1925.56,138.668,564.391,
,,,,2,,198.645,,,,,
,,,,3,,871.478,,,,,
,,,,4,,65.123,,,,,
,,,,5,,28.636,,,,,
,,,,6,,495.556,,,,,
,,,,7,,97.082,,,,,
,,,,8,,214.698,,,,,
,,,,9,,65.307,,,,,
,,,,10,,85.326,,,,,
,,,,11,,570.884,,,,,
,,,,12,,73.711,,,,,
,,,,13,,873.053,,,,,
,,,,14,,185.003,,,,,
,,,,15,,127.44,,,,,
FJ190809-006,tern,W,JL,1,306.55,646.607,139.531,2085.512,139.675,594.47,
,,,,2,,205.387,,,,,
,,,,3,,900.374,,,,,
,,,,4,,68.425,,,,,
,,,,5,,38.639,,,,,
,,,,6,,532.264,,,,,
,,,,7,,103.31,,,,,
,,,,8,,226.74,,,,,
,,,,9,,52.773,,,,,
,,,,10,,59.559,,,,,
,,,,11,,602.682,,,,,
,,,,12,,64.721,,,,,
,,,,13,,854.365,,,,,
,,,,14,,192.837,,,,,
,,,,15,,136.195,,,,,
FJ190809-005,tern,W,JL,1,308.914,656.299,141.834,2242.16,138.061,585.713,
,,,,2,,208.173,,,,,
,,,,3,,894.376,,,,,
,,,,4,,72.56,,,,,
,,,,5,,30.676,,,,,
,,,,6,,518.631,,,,,
,,,,7,,101.119,,,,,
,,,,8,,215.062,,,,,
,,,,9,,60.208,,,,,
,,,,10,,87.642,,,,,
,,,,11,,596.297,,,,,
,,,,12,,96.181,,,,,
,,,,13,,843.208,,,,,
,,,,14,,204.267,,,,,
,,,,15,,136.195,,,,,
FJ190809-004,tern,W,JL,1,305.16,614.138,139.331,2156.307,135.552,555.81,
,,,,2,,203.421,,,,,
,,,,3,,802.217,,,,,
,,,,4,,61.188,,,,,
,,,,5,,25.02,,,,,
,,,,6,,489.543,,,,,
,,,,7,,102,,,,,
,,,,8,,195.586,,,,,
,,,,9,,53.009,,,,,
,,,,10,,68.573,,,,,
,,,,11,,568.384,,,,,
,,,,12,,81.077,,,,,
,,,,13,,809.076,,,,,
,,,,14,,189.708,,,,,
,,,,15,,124.064,,,,,
FJ190809-002,tern,W,JL,1,307.445,578.498,138.712,1928.774,140.444,465.145,
,,,,2,,214.037,,,,,
,,,,3,,802.764,,,,,
,,,,4,,60.017,,,,,
,,,,5,,30.067,,,,,
,,,,6,,515.155,,,,,
,,,,7,,88.278,,,,,
,,,,8,,188.499,,,,,
,,,,9,,53.759,,,,,
,,,,10,,75.628,,,,,
,,,,11,,540.12,,,,,
,,,,12,,62.143,,,,,
,,,,13,,786.315,,,,,
,,,,14,,185.564,,,,,
,,,,15,,128.25,,,,,
FJ190716-011,tern,W,JL,1,301.946,643.758,68.706,1126.408,68.007,274.765,
,,,,2,,188.733,,,,,
,,,,3,,832.003,,,,,
,,,,4,,72.367,,,,,
,,,,5,,26.019,,,,,
,,,,6,,556.121,,,,,
,,,,7,,94.726,,,,,
,,,,8,,207.373,,,,,
,,,,9,,66.287,,,,,
,,,,10,,83.996,,,,,
,,,,11,,587.603,,,,,
,,,,12,,98.498,,,,,
,,,,13,,864.442,,,,,
,,,,14,,211.021,,,,,
,,,,15,,137.033,,,,,
FJ190827-017,tern,W,JL,1,316.074,718.416,141.324,2416.567,139.012,574.913,
,,,,2,,211.367,,,,,
,,,,3,,990.527,,,,,
,,,,4,,70.093,,,,,
,,,,5,,36.235,,,,,
,,,,6,,624.159,,,,,
,,,,7,,121.297,,,,,
,,,,8,,241.753,,,,,
,,,,9,,72.007,,,,,
,,,,10,,NA,,,,,
,,,,11,,663.641,,,,,
,,,,12,,83.245,,,,,
,,,,13,,967.386,,,,,
,,,,14,,220.422,,,,,
,,,,15,,165.759,,,,,
FJ190716-001,tern,W,JL,1,311.29,652.406,68.198,1080.525,68.037,274.925,
,,,,2,,196.573,,,,,
,,,,3,,858.477,,,,,
,,,,4,,64.938,,,,,
,,,,5,,29.428,,,,,
,,,,6,,542.432,,,,,
,,,,7,,104.235,,,,,
,,,,8,,214.201,,,,,
,,,,9,,68.469,,,,,
,,,,10,,90.949,,,,,
,,,,11,,617.414,,,,,
,,,,12,,91.118,,,,,
,,,,13,,859.115,,,,,
,,,,14,,200.18,,,,,
,,,,15,,160.1,,,,,
FJ190703-010,tern,W,JL,1,323.229,704.809,70.336,1187.169,68.974,280.129,
,,,,2,,214.758,,,,,
,,,,3,,933.186,,,,,
,,,,4,,73.164,,,,,
,,,,5,,34.366,,,,,
,,,,6,,566.299,,,,,
,,,,7,,98.153,,,,,
,,,,8,,251.34,,,,,
,,,,9,,67.476,,,,,
,,,,10,,NA,,,,,
,,,,11,,642.125,,,,,
,,,,12,,121.48,,,,,
,,,,13,,938.185,,,,,
,,,,14,,198.157,,,,,
,,,,15,,144.679,,,,,
FJ190628-014,tern,W,JL,1,306.339,642.05,70.696,1153.916,70.023,257.56,
,,,,2,,192.01,,,,,
,,,,3,,819.742,,,,,
,,,,4,,68.264,,,,,
,,,,5,,27.019,,,,,
,,,,6,,541.814,,,,,
,,,,7,,90.824,,,,,
,,,,8,,220.283,,,,,
,,,,9,,63.325,,,,,
,,,,10,,87.664,,,,,
,,,,11,,575.368,,,,,
,,,,12,,82.303,,,,,
,,,,13,,835.749,,,,,
,,,,14,,193.745,,,,,
,,,,15,,133.015,,,,,
FJ190621-002,tern,W,JL,1,309.46,600.48,70.344,1043.584,70.016,269.258,
,,,,2,,186.132,,,,,
,,,,3,,816.017,,,,,
,,,,4,,65.069,,,,,
,,,,5,,28.16,,,,,
,,,,6,,509.712,,,,,
,,,,7,,97.015,,,,,
,,,,8,,227.827,,,,,
,,,,9,,60.638,,,,,
,,,,10,,78.543,,,,,
,,,,11,,611.668,,,,,
,,,,12,,95.865,,,,,
,,,,13,,829.252,,,,,
,,,,14,,192.211,,,,,
,,,,15,,135.004,,,,,
FJ190619-010,tern,W,JL,1,277.727,572.786,69.424,1153.286,70.077,277.953,
,,,,2,,188.024,,,,,
,,,,3,,811.443,,,,,
,,,,4,,64.537,,,,,
,,,,5,,32.062,,,,,
,,,,6,,496.833,,,,,
,,,,7,,90.824,,,,,
,,,,8,,201.694,,,,,
,,,,9,,54.818,,,,,
,,,,10,,74.239,,,,,
,,,,11,,554.563,,,,,
,,,,12,,90.591,,,,,
,,,,13,,820.534,,,,,
,,,,14,,196.163,,,,,
,,,,15,,126.147,,,,,
FJ190619-003,tern,W,JL,1,311.487,694.979,69.681,1144.391,97.827,393.192,
,,,,2,,219.713,,,,,
,,,,3,,925.948,,,,,
,,,,4,,72.111,,,,,
,,,,5,,33.302,,,,,
,,,,6,,582.109,,,,,
,,,,7,,116.927,,,,,
,,,,8,,236.928,,,,,
,,,,9,,68.593,,,,,
,,,,10,,95.712,,,,,
,,,,11,,642.29,,,,,
,,,,12,,90.123,,,,,
,,,,13,,894.466,,,,,
,,,,14,,209.194,,,,,
,,,,15,,186.944,,,,,
DRA190824-003,tern,W,JL,1,314.848,645.105,137.012,2256.53,137.364,429.042,
,,,,2,,194.941,,,,,
,,,,3,,907.734,,,,,
,,,,4,,66.611,,,,,
,,,,5,,32.14,,,,,
,,,,6,,607.998,,,,,
,,,,7,,96.187,,,,,
,,,,8,,219.263,,,,,
,,,,9,,63,,,,,
,,,,10,,82.45,,,,,
,,,,11,,618.091,,,,,
,,,,12,,81.182,,,,,
,,,,13,,882.544,,,,,
,,,,14,,186.815,,,,,
,,,,15,,137.295,,,,,
DRA190824-002,tern,W,JL,1,339.76,668.427,139.061,1785.429,138.399,472.945,
,,,,2,,192.042,,,,,
,,,,3,,883.723,,,,,
,,,,4,,67.119,,,,,
,,,,5,,28.178,,,,,
,,,,6,,561.07,,,,,
,,,,7,,101.257,,,,,
,,,,8,,213.763,,,,,
,,,,9,,60.877,,,,,
,,,,10,,58.317,,,,,
,,,,11,,615.965,,,,,
,,,,12,,105.796,,,,,
,,,,13,,905.836,,,,,
,,,,14,,211.192,,,,,
,,,,15,,151.4,,,,,
DRA190824-001,tern,W,JL,1,287.846,618.098,137.865,2383.665,136.138,524.871,
,,,,2,,185.219,,,,,
,,,,3,,858.998,,,,,
,,,,4,,64.078,,,,,
,,,,5,,30.414,,,,,
,,,,6,,548.96,,,,,
,,,,7,,99.624,,,,,
,,,,8,,209.625,,,,,
,,,,9,,58.31,,,,,
,,,,10,,55.112,,,,,
,,,,11,,570.202,,,,,
,,,,12,,74.982,,,,,
,,,,13,,804.957,,,,,
,,,,14,,187.758,,,,,
,,,,15,,126.57,,,,,
DRA190709-015,tern,W,JL,1,324.055,660.613,68.318,1160.366,71.609,324.234,
,,,,2,,214.311,,,,,
,,,,3,,826.966,,,,,
,,,,4,,68.447,,,,,
,,,,5,,27.019,,,,,
,,,,6,,532.948,,,,,
,,,,7,,118.152,,,,,
,,,,8,,235.215,,,,,
,,,,9,,68.68,,,,,
,,,,10,,94.004,,,,,
,,,,11,,548.665,,,,,
,,,,12,,89.038,,,,,
,,,,13,,826.477,,,,,
,,,,14,,206.737,,,,,
,,,,15,,177.539,,,,,
MY190619-001,tern,Q,JL,1,213.866,639.725,69.385,1968.444,68.689,462.156,
,,,,2,,207.858,,,,,
,,,,3,,971.991,,,,,
,,,,4,,63.159,,,,,
,,,,5,,32.573,,,,,
,,,,6,,584.059,,,,,
,,,,7,,111.158,,,,,
,,,,8,,218.528,,,,,
,,,,9,,61.008,,,,,
,,,,10,,84.71,,,,,
,,,,11,,606.618,,,,,
,,,,12,,98.949,,,,,
,,,,13,,894.715,,,,,
,,,,14,,202.41,,,,,
,,,,15,,134.833,,,,,
JL190809-012,tern,Q,JL,1,260.966,703.105,136.016,3347.578,134.288,781.919,
,,,,2,,238.68,,,,,
,,,,3,,958.016,,,,,
,,,,4,,64.537,,,,,
,,,,5,,34.54,,,,,
,,,,6,,644.412,,,,,
,,,,7,,103.005,,,,,
,,,,8,,212.291,,,,,
,,,,9,,61.62,,,,,
,,,,10,,NA,,,,,
,,,,11,,648.908,,,,,
,,,,12,,108.261,,,,,
,,,,13,,901.275,,,,,
,,,,14,,208.471,,,,,
,,,,15,,153.844,,,,,
JL190619-005,tern,Q,JL,1,207.779,638.36,69.367,1662.209,68.708,414.135,
,,,,2,,217.442,,,,,
,,,,3,,876.371,,,,,
,,,,4,,61.814,,,,,
,,,,5,,30.15,,,,,
,,,,6,,563.505,,,,,
,,,,7,,92.661,,,,,
,,,,8,,204.183,,,,,
,,,,9,,54.708,,,,,
,,,,10,,76.958,,,,,
,,,,11,,575.657,,,,,
,,,,12,,96.064,,,,,
,,,,13,,832.065,,,,,
,,,,14,,186.593,,,,,
,,,,15,,131.095,,,,,
JL190619-004,tern,Q,JL,1,203.416,660.551,68.054,1944.664,67.549,488.148,
,,,,2,,236.907,,,,,
,,,,3,,854.561,,,,,
,,,,4,,68.469,,,,,
,,,,5,,36.497,,,,,
,,,,6,,548.476,,,,,
,,,,7,,103.044,,,,,
,,,,8,,202.026,,,,,
,,,,9,,67.268,,,,,
,,,,10,,NA,,,,,
,,,,11,,577.699,,,,,
,,,,12,,102.891,,,,,
,,,,13,,816.751,,,,,
,,,,14,,179.246,,,,,
,,,,15,,147.275,,,,,
JL190619-003,tern,Q,JL,1,237.514,715.749,69.345,1874.69,68.674,432.185,
,,,,2,,250.801,,,,,
,,,,3,,993.161,,,,,
,,,,4,,72.111,,,,,
,,,,5,,33.377,,,,,
,,,,6,,661.171,,,,,
,,,,7,,110,,,,,
,,,,8,,242.495,,,,,
,,,,9,,74,,,,,
,,,,10,,79.71,,,,,
,,,,11,,663.09,,,,,
,,,,12,,127.923,,,,,
,,,,13,,986.929,,,,,
,,,,14,,230.708,,,,,
,,,,15,,162.111,,,,,
FJ190628-010,tern,Q,JL,1,201.341,655.298,68.118,1957.557,68.262,375.084,
,,,,2,,222.104,,,,,
,,,,3,,915.315,,,,,
,,,,4,,58.856,,,,,
,,,,5,,33.894,,,,,
,,,,6,,500.833,,,,,
,,,,7,,93.638,,,,,
,,,,8,,205.24,,,,,
,,,,9,,54.129,,,,,
,,,,10,,73.024,,,,,
,,,,11,,530.317,,,,,
,,,,12,,83.116,,,,,
,,,,13,,893.271,,,,,
,,,,14,,183.371,,,,,
,,,,15,,143.283,,,,,
FJ190619-002,tern,Q,JL,1,220.922,665.05,70.029,1634.567,69.367,428.065,
,,,,2,,244.724,,,,,
,,,,3,,1053.485,,,,,
,,,,4,,70.093,,,,,
,,,,5,,34.713,,,,,
,,,,6,,646.366,,,,,
,,,,7,,87.023,,,,,
,,,,8,,225.036,,,,,
,,,,9,,56.089,,,,,
,,,,10,,82.258,,,,,
,,,,11,,624.157,,,,,
,,,,12,,89.064,,,,,
,,,,13,,976.868,,,,,
,,,,14,,224.589,,,,,
,,,,15,,135.148,,,,,
FJ190619-001,tern,Q,JL,1,230.181,656.415,68.679,1590.049,70.007,396.081,
,,,,2,,227.491,,,,,
,,,,3,,916.622,,,,,
,,,,4,,67.897,,,,,
,,,,5,,35.228,,,,,
,,,,6,,587.795,,,,,
,,,,7,,104.561,,,,,
,,,,8,,222.275,,,,,
,,,,9,,62.65,,,,,
,,,,10,,77.747,,,,,
,,,,11,,624.984,,,,,
,,,,12,,79.558,,,,,
,,,,13,,908.878,,,,,
,,,,14,,208.849,,,,,
,,,,15,,144.779,,,,,
DRA190709-016,tern,Q,JL,1,216.972,658.474,69.149,1828.829,71.7,440,
,,,,2,,230.217,,,,,
,,,,3,,920.938,,,,,
,,,,4,,69.57,,,,,
,,,,5,,33.242,,,,,
,,,,6,,555.189,,,,,
,,,,7,,103.697,,,,,
,,,,8,,218.42,,,,,
,,,,9,,58.241,,,,,
,,,,10,,75.92,,,,,
,,,,11,,621.587,,,,,
,,,,12,,63.582,,,,,
,,,,13,,914.157,,,,,
,,,,14,,203.769,,,,,
,,,,15,,153.062,,,,,
JL190809-008,tern,M,JL,1,298.337,688.105,139.325,2346.315,136.211,537.386,
,,,,2,,210.021,,,,,
,,,,3,,956.2,,,,,
,,,,4,,63.789,,,,,
,,,,5,,34.482,,,,,
,,,,6,,625.93,,,,,
,,,,7,,96.047,,,,,
,,,,8,,222.181,,,,,
,,,,9,,55,,,,,
,,,,10,,76.705,,,,,
,,,,11,,614.183,,,,,
,,,,12,,66.851,,,,,
,,,,13,,938.449,,,,,
,,,,14,,200.392,,,,,
,,,,15,,113.842,,,,,
FJ190809-001,tern,M,JL,1,303.35,653.716,138.779,2226.552,137.952,555.705,
,,,,2,,194.982,,,,,
,,,,3,,876.229,,,,,
,,,,4,,59.135,,,,,
,,,,5,,27.074,,,,,
,,,,6,,587.771,,,,,
,,,,7,,91.924,,,,,
,,,,8,,211.192,,,,,
,,,,9,,48.508,,,,,
,,,,10,,89.32,,,,,
,,,,11,,590.123,,,,,
,,,,12,,67.914,,,,,
,,,,13,,864.13,,,,,
,,,,14,,190.252,,,,,
,,,,15,,137.557,,,,,
DRA190709-001,san,W,JL,1,238.916,682.265,66.483,1554.397,68.893,406.079,
,,,,2,,251.018,,,,,
,,,,3,,971.324,,,,,
,,,,4,,70.029,,,,,
,,,,5,,32.016,,,,,
,,,,6,,656.719,,,,,
,,,,7,,100.603,,,,,
,,,,8,,233.242,,,,,
,,,,9,,61.717,,,,,
,,,,10,,NA,,,,,
,,,,11,,658.259,,,,,
,,,,12,,100.226,,,,,
,,,,13,,944.305,,,,,
,,,,14,,203.953,,,,,
,,,,15,,152.266,,,,,
FJ190827-012,san,W;Q,JL,1,245.9,657.304,136.055,3292.964,135.561,873.721,
,,,,2,,153.101,,,,,
,,,,3,,924.76,,,,,
,,,,4,,60.44,,,,,
,,,,5,,28,,,,,
,,,,6,,574.457,,,,,
,,,,7,,79.12,,,,,
,,,,8,,181.363,,,,,
,,,,9,,48.042,,,,,
,,,,10,,68.404,,,,,
,,,,11,,643.05,,,,,
,,,,12,,44.612,,,,,
,,,,13,,880.313,,,,,
,,,,14,,201.189,,,,,
,,,,15,,138.885,,,,,
LMB190709-001,san,W,JL,1,215.107,647.596,69.11,1545.889,66.99,384.255,
,,,,2,,201.427,,,,,
,,,,3,,954.904,,,,,
,,,,4,,56.223,,,,,
,,,,5,,30.806,,,,,
,,,,6,,571.18,,,,,
,,,,7,,94.541,,,,,
,,,,8,,216.798,,,,,
,,,,9,,58.181,,,,,
,,,,10,,79.474,,,,,
,,,,11,,602.8,,,,,
,,,,12,,97.75,,,,,
,,,,13,,891.048,,,,,
,,,,14,,189.708,,,,,
,,,,15,,134.183,,,,,
HFN190709-001,san,W,JL,1,214.127,605.238,70.029,1556.209,69.377,424.57,
,,,,2,,236.753,,,,,
,,,,3,,966.118,,,,,
,,,,4,,64.382,,,,,
,,,,5,,34.785,,,,,
,,,,6,,593.92,,,,,
,,,,7,,111.4,,,,,
,,,,8,,219.503,,,,,
,,,,9,,60.828,,,,,
,,,,10,,90.853,,,,,
,,,,11,,631.298,,,,,
,,,,12,,69.987,,,,,
,,,,13,,931.516,,,,,
,,,,14,,203.679,,,,,
,,,,15,,148.486,,,,,
FJ190709-009,san,W,JL,1,246.438,604.156,69.655,1093.344,69.348,322.099,
,,,,2,,188.481,,,,,
,,,,3,,869.309,,,,,
,,,,4,,61.612,,,,,
,,,,5,,30.067,,,,,
,,,,6,,507.755,,,,,
,,,,7,,75.604,,,,,
,,,,8,,212.533,,,,,
,,,,9,,52.345,,,,,
,,,,10,,82.056,,,,,
,,,,11,,568.834,,,,,
,,,,12,,96.719,,,,,
,,,,13,,856.971,,,,,
,,,,14,,172.169,,,,,
,,,,15,,127.224,,,,,
JL190711-008,san,M,JL,1,306.327,706.431,70.014,1163.089,68.421,297.321,
,,,,2,,222.104,,,,,
,,,,3,,1046.88,,,,,
,,,,4,,72.339,,,,,
,,,,5,,33.242,,,,,
,,,,6,,666.278,,,,,
,,,,7,,108.853,,,,,
,,,,8,,242.927,,,,,
,,,,9,,60.407,,,,,
,,,,10,,109.836,,,,,
,,,,11,,567.015,,,,,
,,,,12,,89.903,,,,,
,,,,13,,1022.64,,,,,
,,,,14,,211.4,,,,,
,,,,15,,144.125,,,,,
DRA190718-002,ruf;perp,M,JL,1,300.942,706.408,69.52,1237.08,68.967,318.057,
,,,,2,,167.027,,,,,
,,,,3,,933.819,,,,,
,,,,4,,72.111,,,,,
,,,,5,,25.71,,,,,
,,,,6,,565.541,,,,,
,,,,7,,108.301,,,,,
,,,,8,,217.933,,,,,
,,,,9,,51.884,,,,,
,,,,10,,88.501,,,,,
,,,,11,,650.597,,,,,
,,,,12,,83.165,,,,,
,,,,13,,949.098,,,,,
,,,,14,,206.814,,,,,
,,,,15,,148.054,,,,,
PF190709-003,ruf,W,JL,1,300.09,631.495,70.003,1121.614,69.383,292.438,
,,,,2,,176.071,,,,,
,,,,3,,904.64,,,,,
,,,,4,,68.359,,,,,
,,,,5,,29.155,,,,,
,,,,6,,590.145,,,,,
,,,,7,,104.393,,,,,
,,,,8,,228.489,,,,,
,,,,9,,67.052,,,,,
,,,,10,,97.351,,,,,
,,,,11,,588.986,,,,,
,,,,12,,129.653,,,,,
,,,,13,,923.447,,,,,
,,,,14,,210.107,,,,,
,,,,15,,140.129,,,,,
PF190724-004,imp,W,JL,1,311.307,734.896,69.428,1122.312,68.196,279.007,
,,,,2,,230.269,,,,,
,,,,3,,1047.891,,,,,
,,,,4,,73.437,,,,,
,,,,5,,29.12,,,,,
,,,,6,,662.945,,,,,
,,,,7,,93.904,,,,,
,,,,8,,225.197,,,,,
,,,,9,,60.075,,,,,
,,,,10,,84.861,,,,,
,,,,11,,692.962,,,,,
,,,,12,,114.409,,,,,
,,,,13,,1066.907,,,,,
,,,,14,,203.158,,,,,
,,,,15,,154.302,,,,,
PF190724-003,imp,W,JL,1,246.829,645.638,69.516,1473.416,66.712,344.836,
,,,,2,,198.736,,,,,
,,,,3,,957.799,,,,,
,,,,4,,61.205,,,,,
,,,,5,,28.844,,,,,
,,,,6,,614.232,,,,,
,,,,7,,106.438,,,,,
,,,,8,,204.434,,,,,
,,,,9,,59.933,,,,,
,,,,10,,76.578,,,,,
,,,,11,,611.557,,,,,
,,,,12,,104.089,,,,,
,,,,13,,918.326,,,,,
,,,,14,,200.412,,,,,
,,,,15,,134.852,,,,,
JL190910-001,imp,W,JL,1,256.008,642.907,69.265,1353.327,69.173,346.923,
,,,,2,,208.866,,,,,
,,,,3,,980.176,,,,,
,,,,4,,64.07,,,,,
,,,,5,,29.069,,,,,
,,,,6,,650.218,,,,,
,,,,7,,119,,,,,
,,,,8,,218.339,,,,,
,,,,9,,69.007,,,,,
,,,,10,,88.508,,,,,
,,,,11,,617.822,,,,,
,,,,12,,131.528,,,,,
,,,,13,,971.905,,,,,
,,,,14,,210.44,,,,,
,,,,15,,142.032,,,,,
JL190806-007,imp,W,JL,1,256.926,718.955,132.705,2907.196,,,
,,,,2,,214.947,,,,,
,,,,3,,1040.694,,,,,
,,,,4,,69.376,,,,,
,,,,5,,29.206,,,,,
,,,,6,,691.164,,,,,
,,,,7,,119.887,,,,,
,,,,8,,236.077,,,,,
,,,,9,,63.53,,,,,
,,,,10,,94.524,,,,,
,,,,11,,662.925,,,,,
,,,,12,,95.084,,,,,
,,,,13,,1030.992,,,,,
,,,,14,,208.943,,,,,
,,,,15,,143.68,,,,,
JL190806-006,imp,W,JL,1,256.6,628.013,143.576,2542.245,138.192,589.151,
,,,,2,,178.18,,,,,
,,,,3,,928.416,,,,,
,,,,4,,60.133,,,,,
,,,,5,,30.067,,,,,
,,,,6,,610.149,,,,,
,,,,7,,94.541,,,,,
,,,,8,,193.386,,,,,
,,,,9,,57.009,,,,,
,,,,10,,73.825,,,,,
,,,,11,,553.48,,,,,
,,,,12,,108.248,,,,,
,,,,13,,904.543,,,,,
,,,,14,,166.172,,,,,
,,,,15,,130.384,,,,,
JL190806-005,imp,W,JL,1,290.256,728.67,141.355,3031.172,141.932,698.82,
,,,,2,,240.416,,,,,
,,,,3,,1146.325,,,,,
,,,,4,,76.479,,,,,
,,,,5,,36.056,,,,,
,,,,6,,763.144,,,,,
,,,,7,,117.273,,,,,
,,,,8,,245.258,,,,,
,,,,9,,74.673,,,,,
,,,,10,,69.081,,,,,
,,,,11,,708.079,,,,,
,,,,12,,105.209,,,,,
,,,,13,,1007.855,,,,,
,,,,14,,218.893,,,,,
,,,,15,,162.926,,,,,
JL190716-012,imp,W,JL,1,304.242,685.414,69.023,1238.527,68.189,300.885,
,,,,2,,219.447,,,,,
,,,,3,,1001.887,,,,,
,,,,4,,71.007,,,,,
,,,,5,,31.78,,,,,
,,,,6,,663.677,,,,,
,,,,7,,103.368,,,,,
,,,,8,,230.701,,,,,
,,,,9,,63.53,,,,,
,,,,10,,88.943,,,,,
,,,,11,,637.1,,,,,
,,,,12,,88.447,,,,,
,,,,13,,969.047,,,,,
,,,,14,,204.636,,,,,
,,,,15,,147.868,,,,,
JL190716-011,imp,W,JL,1,240.163,589.869,68.884,1310.477,66.401,317.648,
,,,,2,,167.726,,,,,
,,,,3,,847.915,,,,,
,,,,4,,59.034,,,,,
,,,,5,,28.284,,,,,
,,,,6,,539.753,,,,,
,,,,7,,93.134,,,,,
,,,,8,,191.497,,,,,
,,,,9,,56.223,,,,,
,,,,10,,76.971,,,,,
,,,,11,,520.908,,,,,
,,,,12,,73.921,,,,,
,,,,13,,823.441,,,,,
,,,,14,,193.879,,,,,
,,,,15,,126.321,,,,,
FJ190905-003,imp,W,JL,1,262.497,628.669,69.829,1159.767,68.445,333.408,
,,,,2,,188.322,,,,,
,,,,3,,912.642,,,,,
,,,,4,,64.07,,,,,
,,,,5,,32,,,,,
,,,,6,,614.733,,,,,
,,,,7,,108.503,,,,,
,,,,8,,201.531,,,,,
,,,,9,,56.886,,,,,
,,,,10,,83.726,,,,,
,,,,11,,533.165,,,,,
,,,,12,,93.8,,,,,
,,,,13,,879.603,,,,,
,,,,14,,207.617,,,,,
,,,,15,,130.981,,,,,
FJ190905-002,imp,W,JL,1,246.221,675.846,68.881,1349.528,69.561,342.053,
,,,,2,,204.619,,,,,
,,,,3,,946.141,,,,,
,,,,4,,69.871,,,,,
,,,,5,,27.203,,,,,
,,,,6,,596.041,,,,,
,,,,7,,110.218,,,,,
,,,,8,,206.044,,,,,
,,,,9,,64.382,,,,,
,,,,10,,73.186,,,,,
,,,,11,,444.761,,,,,
,,,,12,,79.271,,,,,
,,,,13,,904.2,,,,,
,,,,14,,185.744,,,,,
,,,,15,,140.52,,,,,
FJ190905-001,imp,W,JL,1,309.963,664.244,69.689,1222.217,67.644,283.863,
,,,,2,,198.04,,,,,
,,,,3,,972.785,,,,,
,,,,4,,69.116,,,,,
,,,,5,,25.02,,,,,
,,,,6,,661.709,,,,,
,,,,7,,94.255,,,,,
,,,,8,,213.713,,,,,
,,,,9,,61.205,,,,,
,,,,10,,87.922,,,,,
,,,,11,,603.931,,,,,
,,,,12,,96.65,,,,,
,,,,13,,978.41,,,,,
,,,,14,,214.374,,,,,
,,,,15,,152.329,,,,,
FJ190828-003,imp,W,JL,1,213.098,596.272,,,134.417,743.643,
,,,,2,,185.011,,,,,
,,,,3,,880.53,,,,,
,,,,4,,59.034,,,,,
,,,,5,,27.295,,,,,
,,,,6,,561.692,,,,,
,,,,7,,78.772,,,,,
,,,,8,,195.496,,,,,
,,,,9,,54.406,,,,,
,,,,10,,NA,,,,,
,,,,11,,550.129,,,,,
,,,,12,,93.657,,,,,
,,,,13,,896.382,,,,,
,,,,14,,197.254,,,,,
,,,,15,,139.09,,,,,
FJ190828-002,imp,W,JL,1,213.032,511.563,135.656,3095.509,134.916,727.096,
,,,,2,,171.292,,,,,
