specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
,,,,,,,1458,749,
,,,,,,,1180.667,653,
,,,,,,,1483.333,771.667,
FJ190809-001,ternarius,M,JL,4.028,16.044,202.335,2093.333,301,
,,,,,,,1557.333,329,
,,,,,,,1622.667,379.667,
,,,,,,,1722.667,393,
,,,,,,,1837.333,377,
,,,,,,,1896,457,
,,,,,,,1892,515.667,
,,,,,,,1854.667,523.667,
,,,,,,,1696,483.667,
,,,,,,,1554.667,478.333,
,,,,,,,1497.333,423.667,
,,,,,,,1368,391.667,
,,,,,,,1036,523.667,
,,,,,,,1406.667,551.667,
,,,,,,,1420,625,
,,,,,,,1434.667,645,
,,,,,,,1746.667,633,
,,,,,,,1414.667,725,
,,,,,,,1045.333,609,
,,,,,,,1458.667,758.333,
FJ190809-002,ternarius,W,JL,3.312,13.905,201.785,2119,345,its.large.tilt
,,,,,,,1661.667,401,
,,,,,,,1713.667,439.667,
,,,,,,,1819,443.667,
,,,,,,,1893.667,426.333,
,,,,,,,1959,491.667,
,,,,,,,1949.667,550.333,
,,,,,,,1928.333,557,
,,,,,,,1789.667,527.667,
,,,,,,,1653.667,530.333,
,,,,,,,1605.667,477,
,,,,,,,1497.667,470.333,
,,,,,,,1221.667,597,
,,,,,,,1537.667,609,
,,,,,,,1553.667,674.333,
,,,,,,,1567,693,
,,,,,,,1843,669,
,,,,,,,1553.667,759.667,
,,,,,,,1236.333,678.333,
,,,,,,,1585.667,789,
FJ190809-003,borealis,W,JL,5.207,19.825,142.705,1874.667,371.667,
,,,,,,,1456,410.333,
,,,,,,,1521.333,451.667,
,,,,,,,1613.333,453,
,,,,,,,1676,441,
,,,,,,,1740,519.667,
,,,,,,,1730.667,559.667,
,,,,,,,1705.333,569,
,,,,,,,1584,543.667,
,,,,,,,1466.667,546.333,
,,,,,,,1416,505,
,,,,,,,1326.667,482.333,
,,,,,,,1052,631.667,
,,,,,,,1340,630.333,
,,,,,,,1360,702.333,
,,,,,,,1376,719.667,
,,,,,,,1609.333,674.333,
,,,,,,,1374.667,783.667,
,,,,,,,1061.333,715.667,
,,,,,,,1404,813,
FJ190809-004,ternarius,W,JL,4.1,15.476,201.34,2040,276.333,its.large.tilt
,,,,,,,1564,313.667,
,,,,,,,1622.667,357.667,
,,,,,,,1716,361.667,
,,,,,,,1818.667,339,
,,,,,,,1876,413.667,
,,,,,,,1865.333,469.667,
,,,,,,,1841.333,477.667,
,,,,,,,1689.333,447,
,,,,,,,1564,452.333,
,,,,,,,1513.333,396.333,
,,,,,,,1402.667,379,
,,,,,,,1113.333,517.667,
,,,,,,,1441.333,529.667,
,,,,,,,1462.667,593.667,
,,,,,,,1468,613.667,
,,,,,,,1732,595,
,,,,,,,1452,687,
,,,,,,,1121.333,601.667,
,,,,,,,1488,717.667,
FJ190809-005,ternarius,W,JL,4.242,15.808,202.338,2093.333,167.333,
,,,,,,,1598.667,239.333,
,,,,,,,1656,278,
,,,,,,,1756,280.667,
,,,,,,,1860,255.333,
,,,,,,,1930.667,331.333,
,,,,,,,1917.333,382,
,,,,,,,1886.667,396.667,
,,,,,,,1737.333,374,
,,,,,,,1612,386,
,,,,,,,1541.333,327.333,
,,,,,,,1430.667,308.667,
,,,,,,,1136,468.667,
,,,,,,,1469.333,467.333,
,,,,,,,1481.333,538,
,,,,,,,1496,559.333,
,,,,,,,1782.667,516.667,
,,,,,,,1486.667,626,
,,,,,,,1148,550,
,,,,,,,1533.333,659.333,
FJ190809-006,ternarius,W,JL,4.256,14.947,202.235,2181.333,420,its.large.tilt
,,,,,,,1681.333,425.333,
,,,,,,,1741.333,481.333,
,,,,,,,1844,494.667,
,,,,,,,1940,481.333,
,,,,,,,1998.667,560,
,,,,,,,1984,613.333,
,,,,,,,1957.333,622.667,
,,,,,,,1809.333,581.333,
,,,,,,,1676,576,
,,,,,,,1625.333,512,
,,,,,,,1510.667,484,
,,,,,,,1180,601.333,
,,,,,,,1521.333,640,
,,,,,,,1538.667,710.667,
,,,,,,,1549.333,733.333,
,,,,,,,1838.667,729.333,
,,,,,,,1529.333,802.667,
,,,,,,,1192,681.333,
,,,,,,,1566.667,834.667,
FJ190809-007,ternarius,W,JL,4.208,14.294,202.684,1998.333,141.333,
,,,,,,,1501,184,
,,,,,,,1567.667,234.667,
,,,,,,,1669,241.333,
,,,,,,,1763.667,222.667,
,,,,,,,1830.333,292,
,,,,,,,1817,358.667,
,,,,,,,1790.333,368,
,,,,,,,1645,334.667,
,,,,,,,1515.667,334.667,
,,,,,,,1449,273.333,
,,,,,,,1331.667,258.667,
,,,,,,,1021,401.333,
,,,,,,,1366.333,425.333,
,,,,,,,1383.667,496,
,,,,,,,1395.667,520,
